,Return,Risk,Sharpe,SystRisk_var,TotalRisk_var,UnsystRisk_var,beta,capm_ret,alpha,Er
ACH,1.6853639991307912,2.129751474150869,0.7731249486690815,0.7223600171409694,4.535841341647799,3.8134813245068298,1.450854106445997,1.0833875649445361,0.601976434186255,1.1396807042746406
ADA,1.1422184324502327,1.3079690161947841,0.8436120571574078,0.8057287250448486,1.7107829473255514,0.9050542222807028,1.6182994651885412,1.2039450619203005,-0.061726629470067795,1.2667350811696159
ADX,0.7861891329615742,1.537152007465404,0.48621680180734855,0.7749433665237335,2.362836294054921,1.5878929275311875,1.5564673277931853,1.1594270903681174,-0.3732379574065432,1.219818022686493
AEVO,-4.816702069851038,1.9107113543994665,-2.5412012435426776,0.982488426739732,3.6508178798310436,2.6683294530913115,1.9733198607984828,1.4595530440793518,-6.2762551139303895,1.5361178546783327
AGIX,1.6976977829592501,2.6050915960492205,0.6367905779109915,0.8395629268300948,6.786502223806275,5.946939296976181,1.68625517900661,1.2528718928855245,0.44482589007372564,1.3182985938309808
AGLD,1.0297902772806458,1.7201672975844384,0.5761011028824077,0.7545564059063615,2.95897553167895,2.2044191257725885,1.5155202863902906,1.129945993626069,-0.1001557163454232,1.188748180738012
AION,4.909718256219569,6.1833829720972195,0.7877432593452154,1.3327313705984878,38.23422497962184,36.901493609023355,2.676779910210443,1.9660309985382096,2.9436872576813595,2.0698900590543747
AKRO,2.58540936179604,2.593299049474896,0.9819960263787124,0.8616592124536859,6.7251999600074,5.863540747553714,1.7306353855150975,1.2848248036864576,1.3005845581095825,1.3519734566444432
ALCX,0.1124782128917436,1.435309747202348,0.051332622129372715,0.7323497182985956,2.060114070414068,1.3277643521154723,1.470918338411762,1.0978334331531194,-0.9853552202613758,1.1549050646834957
ALGO,0.11322995287526358,1.180731491263998,0.0630371540235492,0.7830681875485641,1.3941268544625043,0.6110586669139402,1.572785963471098,1.1711761999651975,-1.057946247089934,1.2322002953478761
AMB,0.8346146464938917,1.7333195195659752,0.4591274935236202,1.013439044480972,3.004396556908423,1.9909575124274512,2.035483919967548,1.5043099930420207,-0.669695346548129,1.5832867691367614
AMP,0.7099049381736993,1.3622587466969929,0.4926413134075278,0.6644902283253179,1.8557488929524617,1.191258664627144,1.3346231153196353,0.9997034457403042,-0.28979850756660497,1.051486822614706
ANC,8.578036504765429,4.731517971053758,1.8047562234797245,0.7126681697068867,22.387262310404665,21.674594140697778,1.4313881112149198,1.0693724158903954,7.508664088875033,1.1249102746055342
ANKR,1.0559734463797876,1.3087691116611946,0.7771985427503784,0.7386518698590961,1.7128765876384324,0.9742247177793363,1.4835761575795314,1.1069468239780298,-0.050973377598242164,1.1645095788921156
ANT,1.1085752495727264,1.323617665309256,0.8082207404830755,0.8253238955422724,1.7519637239187256,0.9266398283764532,1.6576562026990402,1.2322811698842915,-0.12370592031156513,1.2965982305490142
ANY,2.3315751629054966,2.528641763730307,0.9067220180383104,0.9036406205120096,6.394029169281117,5.490388548769108,1.814954695596621,1.3455331150215093,0.9860420478839873,1.4159533572106582
API3,1.250572604048902,1.5423333349212547,0.7856749099641098,0.8434072441488226,2.3787921160093193,1.5353848718604968,1.6939764584739219,1.2584310683265154,-0.007858464277613386,1.3241573549153034
APT,0.22898051617897752,2.782238776706911,0.0683552101175433,0.2681261362938038,7.74085261061157,7.472726474317766,0.5385291221225609,0.42653080065763543,-0.1975502844786579,0.4474257305959908
ARDR,0.5802740477901381,1.218823894934954,0.44425946196192306,0.7778440715197542,1.4855316868644115,0.7076876153446573,1.562293369732386,1.1636217305703926,-0.5833476827802545,1.224238713316009
ARK,0.6244630632195598,1.2997668784579561,0.45059085050266146,0.8576677817277191,1.6893939383363392,0.8317261566086201,1.722618629988838,1.2790528910615249,-0.6545898278419651,1.3458904939050917
ARKM,2.686033634013002,1.5247404737897756,1.7361863736936458,0.5229192687855553,2.3248335124126696,1.8019142436271143,1.0502790166322338,0.7949810630178915,1.8910525709951107,0.8357318888632221
ARPA,1.1257792716777764,1.4668296335843505,0.7410398909255942,0.7738676054916883,2.1515891739612,1.3777215684695117,1.5543066706778113,1.1578714580376157,-0.03209218635983935,1.2181785568599146
ASR,0.9044378524075026,1.4103664819221036,0.613768026610911,0.4584518366571111,1.9891336133293314,1.5306817766722203,0.9207967136030938,0.7017562494245102,0.20268160298299243,0.7374831619123101
