,Return,Risk
AAVE,28.994578502860772,53.61194096637553
ACA,342.71498768307,547.494940825311
ACH,1.6853639991307912,2.129751474150869
ADA,1.1422184324502327,1.3079690161947841
ADX,0.7861891329615742,1.537152007465404
AEUR,-1.398816681757306,0.9464884544577938
AEVO,-4.816702069851038,1.9107113543994665
AGIX,1.6976977829592501,2.6050915960492205
AGLD,1.0297902772806458,1.7201672975844384
AION,4.909718256219569,6.1833829720972195
AKRO,2.58540936179604,2.593299049474896
ALCX,0.1124782128917436,1.435309747202348
ALGO,0.11322995287526358,1.180731491263998
AMB,0.8346146464938917,1.7333195195659752
AMP,0.7099049381736993,1.3622587466969929
ANC,8.578036504765429,4.731517971053758
ANKR,1.0559734463797876,1.3087691116611946
ANT,1.1085752495727264,1.323617665309256
ANY,2.3315751629054966,2.528641763730307
API3,1.250572604048902,1.5423333349212547
APT,0.22898051617897752,2.782238776706911
ARB,461.3502598400691,1167.4134737496618
ARDR,0.5802740477901381,1.218823894934954
ARK,0.6244630632195598,1.2997668784579561
ARKM,2.686033634013002,1.5247404737897756
ARPA,1.1257792716777764,1.4668296335843505
ASR,0.9044378524075026,1.4103664819221036
AST,1.3488281869993468,1.7968221627843635
ASTR,0.2913518971159658,1.0910044873733595
ATA,0.30704572703524025,1.590527848861592
ATM,0.7337744599824019,1.3300581679072405
ATOM,0.7666843537955126,1.1935317244157693
AUTO,0.292555752978864,1.7204656830965794
AVA,1.062196877952728,1.367389073357969
AVAX,1.2563590813312793,1.262993370693908
AXS,2.1923717922356487,1.5484073711670316
BAKE,2.4229959269743446,2.3026547757600384
BAL,0.3157493236254809,1.1690211054282913
BAND,1.2439362410485997,1.5521558175872443
BAR,0.3088028394399102,1.1065238380258848
BAT,0.7242374883961693,1.1622036800730207
BCH,0.6239633614832851,1.1945374655835848
BEAM,0.8086298161091378,1.800593067185943
BEL,0.6722075621265398,1.6179419826164894
BETA,-0.7518009586770907,1.2372816197133696
BETH,0.5552136363109711,0.7893786871038333
BICO,-0.7305636625613696,1.1775756337563974
BIFI,7.915006562990401,4.563086154365175
BLUR,0.3194910867751332,1.3080936068469964
BLZ,1.0138240189648053,1.5064767438808233
BNB,1.4068770976234073,1.054991949856469
BNT,0.45037985868202596,1.1254369948401606
BNX,2.01207615442273,1.6187384857924112
BOME,30.94110312347806,10.807686931049629
BOND,0.060736305093107755,1.6715702308510656
BSW,0.2243705034884807,1.677051074099638
BTC,0.758781120295652,0.7023175636823887
BTG,0.5809263919570904,1.3518818030074173
BTS,0.3157215096527977,1.325000766407045
BUSD,0.0014424651851421245,0.05890560214659835
C98,0.05290734148869412,1.2836881504771944
CAKE,1.1387766855085228,1.3383985977448878
CELO,1.0392348390678938,1.6883809830858076
CELR,0.9961005970738548,1.4154009091593005
CFX,1.6494892787588644,1.818042162227514
CHR,1.3862442606928052,1.586720062770644
CHZ,1.369246897118837,1.455147640669237
CKB,1.0164885912636583,1.338932846813166
CLV,-0.20484322960744641,1.2166826180255592
COS,0.9852489776248841,1.707723929249742
COTI,1.0820498668185932,1.4608226094883998
CRV,0.22792941807853462,1.4957306931167467
CTSI,1.472219161457269,1.6884686848991663
CTXC,1.16754026211677,1.7798121091073555
CVC,0.9678180468900401,1.5683977742200907
CVP,0.745369460552479,1.7105628461482356
CVX,0.6633939910178416,1.5256700350098065
DAI,0.008501872013939567,0.11683519609718372
DAR,-0.33300137919575984,1.3853880345781493
DASH,0.1962323990222127,1.083428261758998
DATA,1.3086005845019788,2.028496530022487
DCR,0.49815282758310064,1.1124232628639328
DEGO,1.3633367726195018,1.6024599310878098
DENT,1.7070088516151776,1.9452409797641923
DEXE,1.8669929775960046,1.8586898501099374
DGB,0.8419075643084354,1.3223401708047369
DIA,0.829707354148053,1.5579873772777366
DNT,1.3853151680231908,1.9160987350405831
DOCK,0.8170314759778292,1.4302702515637244
DODO,2.2391515121267322,3.1634638858599207
DOGE,1.8305841230787647,1.9267046526435359
DOT,0.8237876665840465,1.1121929752651334
DREP,-0.19921748007303666,1.7196473472254659
DUSK,1.1094957824063585,1.4401035064549317
DYDX,0.031320126525855925,1.209122414866079
DYM,-1.1646595680374001,1.2343272749453016
EGLD,0.8270520891710664,1.1174773879556679
ELF,0.7291924002217958,1.362221570477782
ENA,1.6229828154760195,2.015519831206341
ENJ,1.4276230306148634,1.5365457976888628
ENS,0.28716493859511116,1.2526455736363624
EOS,0.6162127527002638,1.1758164756231533
EPS,32.03476122742565,27.65385364923551
EPX,-0.4109101379779928,1.261201764134927
ERN,1.1361526586287276,1.6648934984203803
ETC,0.7286866827391608,1.135546939271669
ETH,0.7439951204335881,0.8912487854161879
FARM,0.7516551596906935,1.7145314752398542
FET,1.340005440859132,1.4287425191538425
FIDA,0.89475859025576,1.5745245777743013
FIL,1.3135805389722448,1.7650776580469627
FIO,0.4884409490123785,1.3421235151904185
FIRO,0.4947316124780079,1.4221542160994347
FIS,0.7311749416327723,1.603809923097037
FLM,0.4124416024996541,1.40424831249221
FLOW,0.03160850500479045,1.1725552040028813
FLUX,1.660363537588248,1.5027706347202445
FOR,0.843206960391139,1.4557019078194682
FTM,1.8592195063365529,1.5995301000891506
FTT,0.9417693988034542,1.3639035137928415
FUN,0.5930624653214777,1.289084237991631
FXS,1.258437474469751,1.644154468471574
GAL,0.526463383914788,1.2629231207456442
GALA,3.0802677820755813,2.532641649841401
GAS,0.6953634839843711,1.4222712052434805
GFT,5.69698405912455,11.073044645159179
GHST,0.5001502205619159,0.8230675228195756
GLM,0.9301618355809396,1.2818871839277344
GLMR,-0.9501451379804426,1.166623308893767
GNO,0.8115363814913192,1.1242408434742985
GNS,1.3769370065764361,1.3828178933721662
GTC,0.24644032767734372,1.6664933907992063
HARD,0.4922418213317809,1.439267931472213
HBAR,0.8621196199950524,1.3570134784058592
HIGH,1.1777231570245859,1.6594417193277191
HIVE,0.9853812577911506,1.5028782467076818
HNT,1.7179214573336516,1.4537745235016248
HOOK,-0.17476670926368124,1.1097898047707415
HOT,41.62665605063442,80.13699702449905
ICP,-0.4996729584228884,1.1855587293706675
ICX,0.6009146375128107,1.3262818253076818
IDEX,1.454465908662744,1.7765819222109778
ILV,0.8934400494912821,1.2387196326954293
INJ,1.9010247879222608,1.3991397460931387
IOST,0.8002179132481931,1.5783885255243384
IOTA,1.0551659538923879,1.0890719049303723
IOTX,1.1605166703387206,1.5869774631276432
IRIS,0.6899401297643706,1.4699177804771113
JOE,0.5870339391153552,1.5333464673484112
JST,1.0288613547496943,1.2092236372970948
JTO,2.5044244841189505,1.635199847131245
JUV,0.6866048180651686,1.1748877802271356
KAVA,0.6219177899975825,1.2309089923034644
KDA,1.3298387266455882,1.6379781666179813
KEEP,1.3149247866456573,1.9766118646077495
KEY,0.9004625608742609,1.6821124927323958
KLAY,0.8128000938414669,1.315950363010377
KMD,0.48903460204898797,1.2745306638023353
KNC,0.23131273264100177,1.0672479928002676
KP3R,1.0156562129543698,1.6865039156667339
KSM,1.4909247439500457,1.3438421008962274
LDO,1.5170288324310965,1.8074011937302394
LEND,-0.4682713174846408,1.3854669443826861
LINK,1.4119808977941786,1.264818509665751
LIT,9.776656356472252,7.212989376538547
LOKA,-0.008716765153577038,1.3038199607109902
LOOM,0.9838171391092664,1.4426222085184452
LPT,1.7756926537348268,1.9009985936094578
LQTY,0.33667610393161596,1.7216055936568118
LRC,1.0787685932798194,1.4670260933069288
LSK,0.49498556173801816,1.172110963318943
LTC,0.8113545663048195,1.0384277899917065
LTO,1.1998889564759798,1.4612571529697516
LUNC,1.6273700071415265,2.41560032621147
MANA,1.5823424022108012,1.605685324612654
MAV,13.666477818492373,14.046308830796493
MBL,1.0765819111764916,1.614069740866183
MBOX,0.5938977288202316,1.724776325943876
MDT,0.835749175288647,1.6325891976535662
MFT,1.9353259748080582,2.187441442915538
MINA,0.23076099427007546,1.2265783589709085
MIR,1.1778474266444914,1.9483273775874237
MITH,0.888486814909607,1.989796469737692
MKR,0.9976996610023938,1.1508162771707036
MLN,0.8122449534392635,1.4352093838283926
MOB,0.7218619189632837,2.2761730231713355
MOVR,0.3274502160858758,1.5522175108413212
MTL,0.846509185644259,1.5757636667061816
NEAR,1.3931378938939898,1.3446852823676572
NEBL,0.4254203217084763,1.7946783670931152
NEO,0.5251627511320517,1.1348620374967464
NEXO,0.9170608352548033,1.1013189730589268
NKN,1.062079060056253,1.6647539521664068
NMR,1.3376345645447518,1.763307691166645
NPXS,225.9526698025141,504.9159226620608
NTRN,12.9604344669485,7.672304240494853
NULS,0.9494623359928671,1.4907755247944001
OAX,1.4103394270248484,1.877188716709495
OGN,1.1228477634288252,1.640917986886052
OMG,0.3938445273694279,1.2717439132932664
OMNI,9.328739311904195,15.445495406328902
ONE,0.31090899378607584,1.5263751221688806
ONT,0.3725103311341315,1.2068812820863983
OOKI,-0.16847161120363946,1.408476237464492
ORDI,2.2720135927372174,1.873090403836934
ORN,1.1482147782066667,1.4634937965443082
OSMO,-0.22089914773056368,1.0013852601480022
OXT,0.5220671359913823,1.3684066784664888
PAXG,0.1102306530751942,0.19166402923670206
PDA,-1.1231455111330904,2.733238881842174
PERL,0.20927921345368194,1.6136157825108943
PERP,0.8485186100435218,1.4729932121446236
PHA,1.1535360985441068,1.6747432089838843
PHB,13.31445145167345,28.615129273487778
PIVX,0.5783338498436554,1.411941867312848
POLS,124.53313217475358,235.24558961257776
POLY,0.6914419533151851,1.5087461601245797
POND,0.4929808803733287,1.4739556335553936
POWR,1.0258308740072515,1.4035332126521636
PROM,2.5122775142356475,2.8773973482900503
PSG,0.698340551783609,1.3609560091902508
PYR,1.3019852691949754,1.5379992044030228
PYTH,1.7341089496946667,1.3759281914756452
QKC,0.2259614047807051,1.2676549918191986
QNT,1.9863314177695042,1.4073772161120692
QTUM,0.5888741699484678,1.2636184421685357
RAD,0.3040592076508128,1.430328929688214
RAMP,2.623905975031375,2.158036618413758
RARE,43.93150213466016,18.160364578853528
RAY,0.5774775450894758,1.4973692859339922
RDNT,2.213276908716582,2.382868408659559
REEF,0.10148700112428313,1.279779085549205
REN,0.9380776124808062,1.4282154476871323
REP,0.5203618039749542,1.4063711985301215
REQ,1.277303580772084,1.730535226319151
REZ,-7.124837287819775,1.7228277160543422
RGT,3.8905037537808265,4.796756418498879
RIF,0.6966692699871946,1.2881977503310074
RLC,1.3115987906218354,1.508284384990882
RNDR,2.6951201540798397,1.6920111441989665
ROSE,1.0510148569020854,1.2959999821470516
RPL,2.657803385976561,2.1924528907976204
RSR,1.2150718262632445,1.4962140060731655
RUNE,2.3827398811968425,1.541969324410221
RVN,0.8792880990196953,1.366705999836433
